Instância;|V|;|E|;|T|;D_G;C_T
i080-213.stp;80;350;16;0,110759;0,2
i080-231.stp;80;160;16;0,050633;0,2
i080-135.stp;80;160;8;0,050633;0,1
i080-101.stp;80;120;8;0,037975;0,1
i080-331.stp;80;160;20;0,050633;0,25
i080-132.stp;80;160;8;0,050633;0,1
i080-224.stp;80;3160;16;1,0;0,2
i080-124.stp;80;3160;8;1,0;0,1
i080-303.stp;80;120;20;0,037975;0,25
i080-023.stp;80;3160;6;1,0;0,075
i080-222.stp;80;3160;16;1,0;0,2
i080-142.stp;80;632;8;0,2;0,1
i080-025.stp;80;3160;6;1,0;0,075
i080-031.stp;80;160;6;0,050633;0,075
i080-212.stp;80;350;16;0,110759;0,2
i080-325.stp;80;3160;20;1,0;0,25
i080-013.stp;80;350;6;0,110759;0,075
i080-335.stp;80;160;20;0,050633;0,25
i080-041.stp;80;632;6;0,2;0,075
i080-223.stp;80;3160;16;1,0;0,2
i080-313.stp;80;350;20;0,110759;0,25
i080-333.stp;80;160;20;0,050633;0,25
i080-144.stp;80;632;8;0,2;0,1
i080-024.stp;80;3160;6;1,0;0,075
i080-113.stp;80;350;8;0,110759;0,1
i080-044.stp;80;632;6;0,2;0,075
i080-002.stp;80;120;6;0,037975;0,075
i080-045.stp;80;632;6;0,2;0,075
i080-204.stp;80;120;16;0,037975;0,2
i080-003.stp;80;120;6;0,037975;0,075
i080-143.stp;80;632;8;0,2;0,1
i080-123.stp;80;3160;8;1,0;0,1
i080-034.stp;80;160;6;0,050633;0,075
i080-342.stp;80;632;20;0,2;0,25
i640-215.stp;640;4135;50;0,020222;0,078125
i640-242.stp;640;40896;50;0,2;0,078125
i640-144.stp;640;40896;26;0,2;0,040625
i640-141.stp;640;40896;26;0,2;0,040625
i640-005.stp;640;960;10;0,004695;0,015625
i640-105.stp;640;960;26;0,004695;0,040625
i640-301.stp;640;960;160;0,004695;0,25
i640-245.stp;640;40896;50;0,2;0,078125
i640-114.stp;640;4135;26;0,020222;0,040625
i640-231.stp;640;1280;50;0,00626;0,078125
i640-341.stp;640;40896;160;0,2;0,25
i640-142.stp;640;40896;26;0,2;0,040625
i640-104.stp;640;960;26;0,004695;0,040625
i640-025.stp;640;204480;10;1,0;0,015625
i640-345.stp;640;40896;160;0,2;0,25
i640-103.stp;640;960;26;0,004695;0,040625
i640-344.stp;640;40896;160;0,2;0,25
i640-314.stp;640;4135;160;0,020222;0,25
i640-113.stp;640;4135;26;0,020222;0,040625
i640-124.stp;640;204480;26;1,0;0,040625
i640-134.stp;640;1280;26;0,00626;0,040625
i640-243.stp;640;40896;50;0,2;0,078125
i640-303.stp;640;960;160;0,004695;0,25
i640-014.stp;640;4135;10;0,020222;0,015625
i640-135.stp;640;1280;26;0,00626;0,040625
i640-123.stp;640;204480;26;1,0;0,040625
i640-042.stp;640;40896;10;0,2;0,015625
i640-213.stp;640;4135;50;0,020222;0,078125
i640-325.stp;640;204480;160;1,0;0,25
i640-235.stp;640;1280;50;0,00626;0,078125
i640-121.stp;640;204480;26;1,0;0,040625
i640-322.stp;640;204480;160;1,0;0,25
i640-011.stp;640;4135;10;0,020222;0,015625
i640-234.stp;640;1280;50;0,00626;0,078125
i640-132.stp;640;1280;26;0,00626;0,040625
i640-324.stp;640;204480;160;1,0;0,25
i640-002.stp;640;960;10;0,004695;0,015625
i640-205.stp;640;960;50;0,004695;0,078125
i640-223.stp;640;204480;50;1,0;0,078125
i640-012.stp;640;4135;10;0,020222;0,015625
i640-201.stp;640;960;50;0,004695;0,078125
i640-145.stp;640;40896;26;0,2;0,040625
i640-031.stp;640;1280;10;0,00626;0,015625
i640-222.stp;640;204480;50;1,0;0,078125
i640-024.stp;640;204480;10;1,0;0,015625
i640-233.stp;640;1280;50;0,00626;0,078125
i640-203.stp;640;960;50;0,004695;0,078125
i640-041.stp;640;40896;10;0,2;0,015625
i640-033.stp;640;1280;10;0,00626;0,015625
i640-044.stp;640;40896;10;0,2;0,015625
i640-232.stp;640;1280;50;0,00626;0,078125
i640-342.stp;640;40896;160;0,2;0,25
i640-331.stp;640;1280;160;0,00626;0,25
i640-143.stp;640;40896;26;0,2;0,040625
i640-214.stp;640;4135;50;0,020222;0,078125
i640-003.stp;640;960;10;0,004695;0,015625
i640-115.stp;640;4135;26;0,020222;0,040625
i640-343.stp;640;40896;160;0,2;0,25
i640-305.stp;640;960;160;0,004695;0,25
i640-335.stp;640;1280;160;0,00626;0,25
i640-021.stp;640;204480;10;1,0;0,015625
i640-131.stp;640;1280;26;0,00626;0,040625
i640-022.stp;640;204480;10;1,0;0,015625
i640-001.stp;640;960;10;0,004695;0,015625
i640-004.stp;640;960;10;0,004695;0,015625
i640-023.stp;640;204480;10;1,0;0,015625
i640-125.stp;640;204480;26;1,0;0,040625
i640-212.stp;640;4135;50;0,020222;0,078125
i640-323.stp;640;204480;160;1,0;0,25
i640-224.stp;640;204480;50;1,0;0,078125
i640-211.stp;640;4135;50;0,020222;0,078125
i640-034.stp;640;1280;10;0,00626;0,015625
i640-225.stp;640;204480;50;1,0;0,078125
i640-333.stp;640;1280;160;0,00626;0,25
i640-032.stp;640;1280;10;0,00626;0,015625
i640-045.stp;640;40896;10;0,2;0,015625
i640-312.stp;640;4135;160;0,020222;0,25
i640-241.stp;640;40896;50;0,2;0,078125
i640-221.stp;640;204480;50;1,0;0,078125
i640-013.stp;640;4135;10;0,020222;0,015625
i640-133.stp;640;1280;26;0,00626;0,040625
i640-304.stp;640;960;160;0,004695;0,25
i640-202.stp;640;960;50;0,004695;0,078125
i640-122.stp;640;204480;26;1,0;0,040625
i640-321.stp;640;204480;160;1,0;0,25
i640-332.stp;640;1280;160;0,00626;0,25
i640-111.stp;640;4135;26;0,020222;0,040625
i640-334.stp;640;1280;160;0,00626;0,25
i640-035.stp;640;1280;10;0,00626;0,015625
i640-302.stp;640;960;160;0,004695;0,25
i640-043.stp;640;40896;10;0,2;0,015625
i640-015.stp;640;4135;10;0,020222;0,015625
i640-311.stp;640;4135;160;0,020222;0,25
i640-313.stp;640;4135;160;0,020222;0,25
i640-315.stp;640;4135;160;0,020222;0,25
i640-204.stp;640;960;50;0,004695;0,078125
i640-112.stp;640;4135;26;0,020222;0,040625
i640-102.stp;640;960;26;0,004695;0,040625
i640-101.stp;640;960;26;0,004695;0,040625
i640-244.stp;640;40896;50;0,2;0,078125
p625.stp;100;180;20;0,036364;0,2
p623.stp;100;180;10;0,036364;0,1
p624.stp;100;180;20;0,036364;0,2
p629.stp;100;180;50;0,036364;0,5
p630.stp;200;370;10;0,018593;0,05
p631.stp;200;370;20;0,018593;0,1
p626.stp;100;180;20;0,036364;0,2
p620.stp;100;180;6;0,036364;0,06
p621.stp;100;180;6;0,036364;0,06
p627.stp;100;180;50;0,036364;0,5
p622.stp;100;180;10;0,036364;0,1
p628.stp;100;180;50;0,036364;0,5
p633.stp;200;370;100;0,018593;0,5
p632.stp;200;370;40;0,018593;0,2
p619.stp;100;180;6;0,036364;0,06
es50fst02.stp;125;177;50;0,022839;0,4
es50fst06.stp;126;182;50;0,023111;0,396825
es50fst01.stp;118;160;50;0,023178;0,423729
es50fst15.stp;112;147;50;0,023649;0,446429
es50fst07.stp;143;211;50;0,020782;0,34965
es50fst10.stp;139;207;50;0,021583;0,359712
es50fst05.stp;104;135;50;0,025205;0,480769
es50fst08.stp;83;96;50;0,02821;0,60241
es50fst13.stp;92;116;50;0,027711;0,543478
es50fst03.stp;128;182;50;0,022392;0,390625
es50fst09.stp;139;202;50;0,021061;0,359712
es50fst11.stp;100;131;50;0,026465;0,5
es50fst04.stp;106;138;50;0,024798;0,471698
es50fst12.stp;110;149;50;0,024854;0,454545
es50fst14.stp;120;167;50;0,023389;0,416667
es1000fst02.stp;2629;3793;1000;0,001098;0,380373
es1000fst03.stp;2762;4047;1000;0,001061;0,362056
es1000fst08.stp;2834;4207;1000;0,001048;0,352858
es1000fst07.stp;2604;3756;1000;0,001108;0,384025
es1000fst11.stp;2763;4038;1000;0,001058;0,361925
es1000fst05.stp;2676;3894;1000;0,001088;0,373692
es1000fst09.stp;2846;4187;1000;0,001034;0,35137
es1000fst14.stp;2840;4200;1000;0,001042;0,352113
es1000fst01.stp;2865;4267;1000;0,00104;0,34904
es1000fst10.stp;2546;3620;1000;0,001117;0,392773
es1000fst13.stp;2532;3615;1000;0,001128;0,394945
es1000fst06.stp;2815;4162;1000;0,001051;0,35524
es1000fst12.stp;2984;4484;1000;0,001007;0,335121
es1000fst04.stp;2778;4083;1000;0,001059;0,359971
es1000fst15.stp;2733;3997;1000;0,001071;0,365898
es90fst14.stp;185;243;90;0,014277;0,486486
es90fst12.stp;207;284;90;0,01332;0,434783
es90fst09.stp;234;331;90;0,012142;0,384615
es90fst04.stp;217;299;90;0,012758;0,414747
es90fst05.stp;190;254;90;0,014146;0,473684
es90fst03.stp;284;430;90;0,0107;0,316901
es90fst15.stp;207;286;90;0,013414;0,434783
es90fst02.stp;221;313;90;0,012875;0,40724
es90fst01.stp;181;231;90;0,01418;0,497238
es90fst08.stp;234;332;90;0,012179;0,384615
es90fst07.stp;175;221;90;0,014516;0,514286
es90fst06.stp;215;290;90;0,012606;0,418605
es90fst11.stp;225;323;90;0,012817;0,4
es90fst10.stp;246;356;90;0,011814;0,365854
es90fst13.stp;240;349;90;0,012169;0,375
es60fst02.stp;186;280;60;0,016274;0,322581
es60fst06.stp;130;174;60;0,020751;0,461538
es60fst08.stp;109;133;60;0,022596;0,550459
es60fst04.stp;162;238;60;0,01825;0,37037
es60fst13.stp;157;226;60;0,018455;0,382166
es60fst12.stp;176;257;60;0,016688;0,340909
es60fst03.stp;113;142;60;0,02244;0,530973
es60fst09.stp;151;216;60;0,019073;0,397351
es60fst15.stp;117;151;60;0,022252;0,512821
es60fst14.stp;118;149;60;0,021585;0,508475
es60fst01.stp;123;159;60;0,021192;0,487805
es60fst07.stp;188;280;60;0,015929;0,319149
es60fst05.stp;119;148;60;0,02108;0,504202
es60fst10.stp;133;177;60;0,020164;0,451128
es60fst11.stp;121;154;60;0,021212;0,495868
es10fst14.stp;24;32;10;0,115942;0,416667
es10fst01.stp;18;20;10;0,130719;0,555556
es10fst11.stp;14;13;10;0,142857;0,714286
es10fst09.stp;21;29;10;0,138095;0,47619
es10fst05.stp;12;11;10;0,166667;0,833333
es10fst13.stp;18;21;10;0,137255;0,555556
es10fst02.stp;14;13;10;0,142857;0,714286
es10fst06.stp;17;20;10;0,147059;0,588235
es10fst04.stp;18;20;10;0,130719;0,555556
es10fst12.stp;13;12;10;0,153846;0,769231
es10fst03.stp;17;20;10;0,147059;0,588235
es10fst07.stp;14;13;10;0,142857;0,714286
es10fst10.stp;18;21;10;0,137255;0,555556
es10fst08.stp;21;28;10;0,133333;0,47619
es10fst15.stp;16;18;10;0,15;0,625
es70fst15.stp;178;251;70;0,015933;0,393258
es70fst07.stp;167;230;70;0,016593;0,419162
es70fst12.stp;142;181;70;0,01808;0,492958
es70fst11.stp;177;254;70;0,016307;0,39548
es70fst01.stp;154;209;70;0,01774;0,454545
es70fst08.stp;209;314;70;0,014446;0,334928
es70fst09.stp;161;220;70;0,017081;0,434783
es70fst10.stp;165;225;70;0,01663;0,424242
es70fst06.stp;187;268;70;0,01541;0,374332
es70fst05.stp;169;231;70;0,016272;0,414201
es70fst04.stp;167;231;70;0,016665;0,419162
es70fst03.stp;181;264;70;0,016206;0,38674
es70fst02.stp;147;197;70;0,018358;0,47619
es70fst13.stp;160;219;70;0,017217;0,4375
es70fst14.stp;143;184;70;0,018123;0,48951
es80fst05.stp;172;228;80;0,015504;0,465116
es80fst15.stp;197;282;80;0,014607;0,406091
es80fst08.stp;217;306;80;0,013057;0,368664
es80fst02.stp;183;249;80;0,014952;0,437158
es80fst04.stp;198;280;80;0,014357;0,40404
es80fst01.stp;187;255;80;0,014663;0,427807
es80fst13.stp;164;211;80;0,015786;0,487805
es80fst09.stp;236;343;80;0,012369;0,338983
es80fst06.stp;172;224;80;0,015232;0,465116
es80fst11.stp;209;295;80;0,013572;0,382775
es80fst03.stp;189;261;80;0,014691;0,42328
es80fst14.stp;209;297;80;0,013664;0,382775
es80fst10.stp;156;197;80;0,016294;0,512821
es80fst07.stp;193;271;80;0,014627;0,414508
es80fst12.stp;147;180;80;0,016774;0,544218
es250fst03.stp;543;727;250;0,00494;0,460405
es250fst06.stp;596;824;250;0,004647;0,419463
es250fst01.stp;623;876;250;0,004521;0,401284
es250fst04.stp;604;842;250;0,004624;0,413907
es250fst08.stp;657;947;250;0,004395;0,380518
es250fst07.stp;585;799;250;0,004677;0,42735
es250fst02.stp;542;719;250;0,004904;0,461255
es250fst12.stp;619;872;250;0,004559;0,403877
es250fst14.stp;710;1046;250;0,004156;0,352113
es250fst15.stp;713;1053;250;0,004148;0,350631
es250fst05.stp;596;832;250;0,004692;0,419463
es250fst11.stp;661;952;250;0,004364;0,378215
es250fst10.stp;662;951;250;0,004347;0,377644
es250fst13.stp;684;993;250;0,004251;0,365497
es250fst09.stp;570;770;250;0,004748;0,438596
es100fst01.stp;250;354;100;0,011373;0,4
es100fst08.stp;210;276;100;0,012577;0,47619
es100fst07.stp;276;401;100;0,010567;0,362319
es100fst05.stp;188;238;100;0,01354;0,531915
es100fst10.stp;229;312;100;0,011951;0,436681
es100fst15.stp;231;319;100;0,012008;0,4329
es100fst13.stp;254;361;100;0,011235;0,393701
es100fst03.stp;189;233;100;0,013115;0,529101
es100fst04.stp;188;235;100;0,013369;0,531915
es100fst14.stp;198;253;100;0,012972;0,505051
es100fst09.stp;248;342;100;0,011166;0,403226
es100fst06.stp;301;452;100;0,010011;0,332226
es100fst12.stp;266;385;100;0,010924;0,37594
es100fst02.stp;339;522;100;0,009111;0,294985
es100fst11.stp;253;362;100;0,011356;0,395257
es40fst12.stp;67;75;40;0,033921;0,597015
es40fst09.stp;107;153;40;0,026979;0,373832
es40fst10.stp;107;152;40;0,026803;0,373832
es40fst15.stp;93;129;40;0,030154;0,430108
es40fst03.stp;87;116;40;0,031008;0,45977
es40fst14.stp;98;134;40;0,028193;0,408163
es40fst08.stp;98;137;40;0,028824;0,408163
es40fst01.stp;93;127;40;0,029687;0,430108
es40fst07.stp;77;95;40;0,032468;0,519481
es40fst11.stp;97;135;40;0,028995;0,412371
es40fst13.stp;78;95;40;0,031635;0,512821
es40fst05.stp;121;180;40;0,024793;0,330579
es40fst04.stp;55;55;40;0,037037;0,727273
es40fst06.stp;92;123;40;0,029384;0,434783
es40fst02.stp;82;105;40;0,031617;0,487805
es30fst05.stp;58;71;30;0,042952;0,517241
es30fst15.stp;118;188;30;0,027235;0,254237
es30fst12.stp;46;48;30;0,046377;0,652174
es30fst06.stp;83;119;30;0,034969;0,361446
es30fst13.stp;65;84;30;0,040385;0,461538
es30fst04.stp;80;115;30;0,036392;0,375
es30fst07.stp;53;64;30;0,046444;0,566038
es30fst02.stp;71;97;30;0,039034;0,422535
es30fst09.stp;43;44;30;0,048726;0,697674
es30fst10.stp;48;52;30;0,046099;0,625
es30fst11.stp;79;112;30;0,036352;0,379747
es30fst08.stp;69;93;30;0,039642;0,434783
es30fst01.stp;79;115;30;0,037326;0,379747
es30fst14.stp;53;58;30;0,04209;0,566038
es30fst03.stp;83;120;30;0,035263;0,361446
es500fst06.stp;1335;1932;500;0,00217;0,374532
es500fst09.stp;1294;1853;500;0,002215;0,386399
es500fst11.stp;1274;1808;500;0,00223;0,392465
es500fst10.stp;1203;1679;500;0,002322;0,415628
es500fst12.stp;1322;1918;500;0,002197;0,378215
es500fst15.stp;1334;1927;500;0,002167;0,374813
es500fst03.stp;1337;1933;500;0,002164;0,373972
es500fst08.stp;1349;1972;500;0,002169;0,370645
es500fst07.stp;1214;1700;500;0,002309;0,411862
es500fst14.stp;1477;2204;500;0,002022;0,338524
es500fst05.stp;1172;1627;500;0,002371;0,426621
es500fst02.stp;1408;2056;500;0,002076;0,355114
es500fst01.stp;1250;1763;500;0,002258;0,4
es500fst04.stp;1296;1879;500;0,002239;0,385802
es500fst13.stp;1273;1814;500;0,002241;0,392773
es20fst04.stp;57;83;20;0,052005;0,350877
es20fst02.stp;29;28;20;0,068966;0,689655
es20fst08.stp;52;74;20;0,055807;0,384615
es20fst11.stp;33;36;20;0,068182;0,606061
es20fst09.stp;36;42;20;0,066667;0,555556
es20fst14.stp;36;44;20;0,069841;0,555556
es20fst03.stp;27;26;20;0,074074;0,740741
es20fst15.stp;37;43;20;0,064565;0,540541
es20fst10.stp;49;67;20;0,056973;0,408163
es20fst01.stp;29;28;20;0,068966;0,689655
es20fst05.stp;54;77;20;0,053809;0,37037
es20fst13.stp;35;40;20;0,067227;0,571429
es20fst06.stp;29;28;20;0,068966;0,689655
es20fst07.stp;45;59;20;0,059596;0,444444
es20fst12.stp;33;36;20;0,068182;0,606061
ER-132.stp;750;168267;150;0,599081;0,2
ER-027.stp;150;10091;30;0,902998;0,2
ER-146.stp;850;71970;168;0,19946;0,197647
ER-153.stp;850;324376;170;0,898984;0,2
ER-064.stp;400;8099;80;0,101491;0,2
ER-172.stp;1000;50178;200;0,100456;0,2
ER-093.stp;550;45571;110;0,301845;0,2
ER-101.stp;600;36131;118;0,201063;0,196667
ER-143.stp;800;255769;160;0,800278;0,2
ER-169.stp;950;315877;190;0,700742;0,2
ER-009.stp;50;1089;10;0,88898;0,2
ER-103.stp;600;71933;120;0,400295;0,2
ER-040.stp;250;12536;50;0,402763;0,2
ER-127.stp;750;28080;148;0,099973;0,197333
ER-069.stp;400;47601;80;0,596504;0,2
ER-163.stp;950;45256;190;0,100396;0,2
ER-065.stp;400;16307;78;0,204348;0,195
ER-060.stp;350;36554;70;0,59851;0,2
ER-102.stp;600;54028;120;0,300657;0,2
ER-055.stp;350;6202;68;0,101547;0,194286
ER-005.stp;50;618;10;0,50449;0,2
ER-004.stp;50;462;10;0,377143;0,2
ER-141.stp;800;191823;160;0,600197;0,2
ER-074.stp;450;20396;92;0,201891;0,204444
ER-024.stp;150;6677;30;0,597494;0,2
ER-089.stp;500;99790;100;0,79992;0,2
ER-136.stp;800;31943;158;0,099947;0,1975
ER-072.stp;400;71834;80;0,900175;0,2
ER-021.stp;150;3349;28;0,299687;0,186667
ER-123.stp;700;146917;140;0,600519;0,2
ER-083.stp;500;24999;100;0,200393;0,2
ER-036.stp;200;18000;40;0,904523;0,2
ER-159.stp;900;242724;180;0,599985;0,2
ER-018.stp;100;4446;20;0,898182;0,2
ER-079.stp;450;70990;90;0,702697;0,2
ER-117.stp;650;190009;130;0,900837;0,2
ER-158.stp;900;202640;180;0,500902;0,2
ER-145.stp;850;35782;168;0,099167;0,197647
ER-142.stp;800;223444;160;0,699136;0,2
ER-033.stp;200;11908;40;0,598392;0,2
ER-019.stp;150;1068;26;0,09557;0,173333
ER-080.stp;450;80606;90;0,797882;0,2
ER-131.stp;750;140104;150;0,498813;0,2
ER-148.stp;850;143933;170;0,3989;0,2
ER-063.stp;350;54908;70;0,899026;0,2
ER-085.stp;500;50053;100;0,401226;0,2
ER-044.stp;250;25022;50;0,80392;0,2
ER-091.stp;550;15050;108;0,099685;0,196364
ER-176.stp;1000;249559;200;0,499618;0,2
ER-124.stp;700;171330;140;0,700307;0,2
ER-016.stp;100;3513;20;0,709697;0,2
ER-173.stp;1000;99996;198;0,200192;0,198
ER-097.stp;550;105556;110;0,699162;0,2
ER-061.stp;350;42728;70;0,699599;0,2
ER-006.stp;50;729;10;0,595102;0,2
ER-171.stp;950;405459;190;0,899471;0,2
ER-129.stp;750;84260;150;0,299991;0,2
ER-003.stp;50;375;10;0,306122;0,2
ER-110.stp;650;41977;130;0,199014;0,2
ER-115.stp;650;147394;130;0,698798;0,2
ER-121.stp;700;97802;140;0,399763;0,2
ER-042.stp;250;18551;50;0,596016;0,2
ER-059.stp;350;30651;70;0,501858;0,2
ER-118.stp;700;24408;140;0,099767;0,2
ER-068.stp;400;39795;80;0,498684;0,2
ER-049.stp;300;17823;60;0,397391;0,2
ER-100.stp;600;18080;116;0,100612;0,193333
ER-071.stp;400;63685;80;0,798058;0,2
ER-047.stp;300;9044;60;0,20165;0,2
ER-086.stp;500;62725;100;0,502806;0,2
ER-025.stp;150;7846;30;0,702103;0,2
ER-114.stp;650;126258;130;0,598592;0,2
ER-161.stp;900;323337;180;0,799251;0,2
ER-020.stp;150;2262;30;0,202416;0,2
ER-119.stp;700;48929;140;0,199996;0,2
ER-105.stp;600;107751;120;0,599616;0,2
ER-034.stp;200;13964;40;0,701709;0,2
ER-149.stp;850;180312;170;0,499721;0,2
ER-098.stp;550;120665;110;0,799238;0,2
ER-056.stp;350;12298;70;0,201359;0,2
ER-140.stp;800;159756;160;0,499862;0,2
ER-038.stp;250;6217;48;0,199743;0,192
ER-011.stp;100;979;18;0,197778;0,18
ER-081.stp;450;90969;90;0,90046;0,2
ER-151.stp;850;252636;170;0,700162;0,2
ER-058.stp;350;24587;70;0,402571;0,2
ER-087.stp;500;74949;100;0,600794;0,2
ER-002.stp;50;246;8;0,200816;0,16
ER-028.stp;200;2069;38;0,10397;0,19
ER-090.stp;500;112338;100;0,900505;0,2
ER-120.stp;700;73367;140;0,299886;0,2
ER-023.stp;150;5598;30;0,50094;0,2
ER-180.stp;1000;449880;200;0,900661;0,2
ER-126.stp;700;220423;140;0,900973;0,2
ER-094.stp;550;60507;110;0,400775;0,2
ER-050.stp;300;22303;60;0,49728;0,2
ER-134.stp;750;224623;150;0,799726;0,2
ER-013.stp;100;1977;20;0,399394;0,2
ER-078.stp;450;60656;90;0,600406;0,2
ER-077.stp;450;50382;90;0,498708;0,2
ER-106.stp;600;125846;120;0,700312;0,2
ER-109.stp;650;21263;128;0,100808;0,196923
ER-029.stp;200;4028;40;0,202412;0,2
ER-113.stp;650;105673;130;0,500998;0,2
ER-057.stp;350;18401;68;0,301285;0,194286
ER-039.stp;250;9226;50;0,296418;0,2
ER-046.stp;300;4496;58;0,100245;0,193333
ER-001.stp;50;115;8;0,093878;0,16
ER-031.stp;200;7926;40;0,398291;0,2
ER-178.stp;1000;349592;200;0,699884;0,2
ER-010.stp;100;486;16;0,098182;0,16
ER-014.stp;100;2510;20;0,507071;0,2
ER-045.stp;250;28001;50;0,899631;0,2
ER-154.stp;900;40470;180;0,100037;0,2
ER-076.stp;450;40390;90;0,399802;0,2
ER-104.stp;600;89994;120;0,500801;0,2
ER-165.stp;950;135574;190;0,300758;0,2
ER-112.stp;650;84615;130;0,401162;0,2
ER-167.stp;950;226302;190;0,502029;0,2
ER-096.stp;550;90812;110;0,601504;0,2
ER-150.stp;850;217058;170;0,60156;0,2
ER-095.stp;550;75331;110;0,498963;0,2
ER-054.stp;300;40358;60;0,899844;0,2
ER-168.stp;950;270607;190;0,600315;0,2
ER-015.stp;100;2957;20;0,597374;0,2
ER-067.stp;400;31941;80;0,400263;0,2
ER-128.stp;750;55799;148;0,198661;0,197333
ER-051.stp;300;26851;60;0,598685;0,2
ER-125.stp;700;195763;140;0,800176;0,2
ER-088.stp;500;87175;100;0,698798;0,2
ER-066.stp;400;23823;80;0,298534;0,2
ER-035.stp;200;15909;40;0,799447;0,2
ER-157.stp;900;160951;180;0,397852;0,2
ER-082.stp;500;12443;98;0,099743;0,196
ER-092.stp;550;30341;110;0,200967;0,2
ER-179.stp;1000;399681;200;0,800162;0,2
ER-135.stp;750;252894;150;0,900379;0,2
ER-032.stp;200;9779;40;0,491407;0,2
ER-144.stp;800;287962;160;0,901008;0,2
ER-156.stp;900;121062;180;0,299251;0,2
ER-152.stp;850;288505;170;0,79957;0,2
ER-137.stp;800;64169;160;0,200779;0,2
ER-052.stp;300;31428;60;0,700736;0,2
ER-174.stp;1000;149593;200;0,299485;0,2
ER-053.stp;300;35884;60;0,800089;0,2
ER-170.stp;950;360775;190;0,800344;0,2
ER-070.stp;400;55971;80;0,701391;0,2
ER-122.stp;700;122747;140;0,501725;0,2
ER-030.stp;200;6048;40;0,30392;0,2
ER-107.stp;600;143754;120;0,799967;0,2
ER-026.stp;150;8885;30;0,795078;0,2
ER-084.stp;500;37350;98;0,299399;0,196
ER-099.stp;550;135869;110;0,899944;0,2
ER-162.stp;900;364045;180;0,899876;0,2
ER-133.stp;750;196476;150;0,699514;0,2
ER-008.stp;50;961;10;0,78449;0,2
ER-022.stp;150;4576;30;0,409485;0,2
ER-130.stp;750;112549;150;0,400709;0,2
ER-160.stp;900;283460;180;0,70068;0,2
ER-111.stp;650;63334;128;0,300268;0,196923
ER-155.stp;900;81137;180;0,200561;0,2
ER-139.stp;800;128119;160;0,400873;0,2
ER-012.stp;100;1450;22;0,292929;0,22
ER-166.stp;950;180097;190;0,399527;0,2
ER-017.stp;100;3979;20;0,803838;0,2
ER-073.stp;450;10199;88;0,100955;0,195556
ER-108.stp;600;161839;120;0,900607;0,2
ER-062.stp;350;48986;70;0,802063;0,2
ER-138.stp;800;96067;160;0,300585;0,2
ER-007.stp;50;885;10;0,722449;0,2
ER-177.stp;1000;299605;200;0,59981;0,2
ER-116.stp;650;168605;130;0,79936;0,2
ER-043.stp;250;21723;50;0,697928;0,2
ER-075.stp;450;30121;90;0,298154;0,2
ER-164.stp;950;90296;190;0,200313;0,2
ER-147.stp;850;108641;170;0,301091;0,2
ER-041.stp;250;15627;50;0,502072;0,2
ER-037.stp;250;3127;46;0,100466;0,184
ER-048.stp;300;13404;60;0,298863;0,2
ER-175.stp;1000;199951;200;0,400302;0,2
p409.stp;100;4950;50;1,0;0,5
p408.stp;100;4950;20;1,0;0,2
p402.stp;100;4950;6;1,0;0,06
p403.stp;100;4950;6;1,0;0,06
p410.stp;100;4950;50;1,0;0,5
p401.stp;100;4950;6;1,0;0,06
p404.stp;100;4950;10;1,0;0,1
p406.stp;100;4950;10;1,0;0,1
p407.stp;100;4950;20;1,0;0,2
p405.stp;100;4950;10;1,0;0,1
mc2.stp;120;7140;60;1,0;0,5
mc13.stp;150;11175;80;1,0;0,533333
mc3.stp;97;4656;46;1,0;0,474227
berlin52.stp;52;1326;16;1,0;0,307692
world666.stp;666;221445;174;1,0;0,261261
brasil58.stp;58;1653;26;1,0;0,448276
p460.stp;100;4950;20;1,0;0,2
p459.stp;100;4950;20;1,0;0,2
p466.stp;200;19900;100;1,0;0,5
p457.stp;100;4950;10;1,0;0,1
p465.stp;200;19900;40;1,0;0,2
p464.stp;200;19900;20;1,0;0,1
p456.stp;100;4950;6;1,0;0,06
p463.stp;200;19900;10;1,0;0,05
p461.stp;100;4950;50;1,0;0,5
p455.stp;100;4950;6;1,0;0,06
p458.stp;100;4950;10;1,0;0,1
